group,YEAR,NF,PE,NS,NB,PQ,ON,MB,SK,AB,BC,NU,NT,YT,Comments
PIGEK,2020,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2021,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2022,0,0,0,0,0,0,0,0,0,5,0,0,0,
WOODK,1975,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1976,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1977,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1978,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1979,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1980,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1981,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1982,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1983,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1984,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1985,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1986,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1987,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1988,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1989,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1990,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1991,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1992,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1993,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1994,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1995,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1996,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1997,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1998,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,1999,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2000,0,8,8,8,8,8,0,0,0,0,0,0,0,"No bag limit found, assuming no change. "
WOODK,2001,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2002,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2003,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2004,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2005,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2006,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2007,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2008,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2009,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2010,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2011,0,8,8,8,8,8,0,0,0,0,0,0,0,
WOODK,2012,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2013,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2014,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2015,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2016,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2017,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2018,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2019,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2020,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2021,0,8,8,8,8,8,8,0,0,0,0,0,0,
WOODK,2022,0,8,8,8,8,8,8,0,0,0,0,0,0,
RAILK,1975,0,0,0,0,6,5,10,0,10,0,0,25,25,
RAILK,1976,0,0,0,0,6,5,10,0,10,0,0,25,25,
RAILK,1977,0,0,0,0,6,5,10,0,10,0,0,25,25,
RAILK,1978,0,0,0,0,6,5,10,0,10,0,0,25,25,
RAILK,1979,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1980,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1981,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1982,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1983,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1984,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1985,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1986,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1987,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1988,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1989,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1990,0,0,0,0,6,10,10,0,10,0,0,25,25,
RAILK,1991,0,0,0,0,6,10,10,0,0,0,0,25,25,
RAILK,1992,0,0,0,0,0,10,10,0,0,0,0,25,25,
RAILK,1993,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,1994,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,1995,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,1996,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,1997,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,1998,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,1999,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2000,0,0,0,0,0,10,0,0,0,0,0,0,25,"No bag limit found, assuming no change. "
RAILK,2001,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2002,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2003,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2004,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2005,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2006,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2007,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2008,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2009,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2010,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2011,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2012,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2013,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2014,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2015,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2016,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2017,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2018,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2019,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2020,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2021,0,0,0,0,0,10,0,0,0,0,0,0,25,
RAILK,2022,0,0,0,0,0,10,0,0,0,0,0,0,25,
CRANK,1975,0,0,0,0,0,0,4,4,0,0,0,0,0,
CRANK,1976,0,0,0,0,0,0,4,4,0,0,0,0,0,
CRANK,1977,0,0,0,0,0,0,4,4,0,0,0,0,0,
CRANK,1978,0,0,0,0,0,0,4,4,0,0,0,0,0,
CRANK,1979,0,0,0,0,0,0,5,4,0,0,0,0,0,
CRANK,1980,0,0,0,0,0,0,5,4,0,0,0,0,0,
CRANK,1981,0,0,0,0,0,0,5,4,0,0,0,0,0,
CRANK,1982,0,0,0,0,0,0,5,4,0,0,0,0,0,
CRANK,1983,0,0,0,0,0,0,5,4,0,0,0,0,0,
CRANK,1984,0,0,0,0,0,0,5,4,0,0,0,0,0,
CRANK,1985,0,0,0,0,0,0,5,5,0,0,0,0,0,
CRANK,1986,0,0,0,0,0,0,5,5,0,0,0,0,0,
CRANK,1987,0,0,0,0,0,0,5,5,0,0,0,0,0,
CRANK,1988,0,0,0,0,0,0,5,5,0,0,0,0,0,
CRANK,1989,0,0,0,0,0,0,5,5,0,0,0,0,0,
CRANK,1990,0,0,0,0,0,0,5,5,0,0,0,0,0,
CRANK,1991,0,0,0,0,0,0,5,5,0,0,0,0,0,
CRANK,1992,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,1993,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,1994,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,1995,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,1996,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,1997,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,1998,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,1999,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2000,0,0,0,0,0,0,5,5,0,0,0,0,2,"No bag limit found, assuming no change. "
CRANK,2001,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2002,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2003,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2004,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2005,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2006,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2007,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2008,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2009,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2010,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2011,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2012,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2013,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2014,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2015,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2016,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2017,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2018,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2019,0,0,0,0,0,0,5,5,0,0,0,0,2,
CRANK,2020,0,0,0,0,0,0,5,5,5,0,0,0,2,
CRANK,2021,0,0,0,0,0,0,5,5,5,0,0,0,2,
CRANK,2022,0,0,0,0,0,0,5,5,5,0,0,0,2,
COOTK,1975,0,0,0,0,6,5,8,8,10,25,0,25,25,
COOTK,1976,0,0,0,0,6,10,8,8,10,25,0,25,25,
COOTK,1977,0,0,0,0,6,10,8,8,10,10,0,25,25,
COOTK,1978,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1979,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1980,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1981,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1982,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1983,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1984,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1985,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1986,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1987,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1988,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1989,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1990,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1991,0,0,0,0,6,10,8,10,10,10,0,25,25,
COOTK,1992,0,0,0,0,2,10,8,10,10,10,0,25,25,
COOTK,1993,0,0,0,0,2,10,8,10,10,10,0,25,25,
COOTK,1994,0,0,0,0,2,10,8,10,10,10,0,25,25,
COOTK,1995,0,0,0,0,2,10,8,10,10,10,0,25,25,
COOTK,1996,0,0,0,0,2,10,8,10,10,10,0,25,25,
COOTK,1997,0,0,0,0,4,10,8,10,10,10,0,25,25,
COOTK,1998,0,0,0,0,4,10,8,10,10,10,0,25,25,
COOTK,1999,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2000,0,0,0,0,4,10,8,10,10,10,25,25,25,"No bag limit found, assuming no change. "
COOTK,2001,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2002,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2003,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2004,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2005,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2006,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2007,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2008,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2009,0,0,0,0,4,10,8,10,10,10,25,25,25,
COOTK,2010,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2011,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2012,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2013,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2014,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2015,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2016,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2017,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2018,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2019,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2020,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2021,0,0,0,0,4,8,8,10,8,10,25,25,25,
COOTK,2022,0,0,0,0,4,8,8,10,8,10,25,25,25,
DOVEK,1975,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1976,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1977,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1978,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1979,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1980,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1981,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1982,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1983,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1984,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1985,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1986,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1987,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1988,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1989,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1990,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1991,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1992,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1993,0,0,0,0,0,0,0,0,0,10,0,0,0,
DOVEK,1994,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,1995,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,1996,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,1997,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,1998,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,1999,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2000,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2001,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2002,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2003,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2004,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2005,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2006,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2007,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2008,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2009,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2010,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2011,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2012,0,0,0,0,0,0,0,0,0,5,0,0,0,
DOVEK,2013,0,0,0,0,0,15,0,0,0,5,0,0,0,
DOVEK,2014,0,0,0,0,0,15,0,0,0,5,0,0,0,
DOVEK,2015,0,0,0,0,0,15,0,0,0,5,0,0,0,
DOVEK,2016,0,0,0,0,8,15,0,0,0,5,0,0,0,
DOVEK,2017,0,0,0,0,8,15,0,0,0,5,0,0,0,
DOVEK,2018,0,0,0,0,8,15,0,0,0,5,0,0,0,
DOVEK,2019,0,0,0,0,8,15,0,0,0,5,0,0,0,
DOVEK,2020,0,0,0,0,8,15,0,0,0,5,0,0,0,
DOVEK,2021,0,0,0,0,8,15,0,0,0,5,0,0,0,
DOVEK,2022,0,0,0,0,8,15,0,0,0,5,0,0,0,
